suffix	time	taxid	refseq	description	rclass	aclass	ID	Hdepth%	%>2	nregions	Rsize	Pval	ngaps	Gdist	Gsize
child_0-0	351	56947	NC_008168.1	Choristoneura fumiferana granulovirus	True	False	NC_008168_1	0.0693725527647789	0.1604431286410085	2	1.0	0.0	3	168.0	1.0
child_0-0	351	277944	NC_005831.2	Human coronavirus NL63 strain=Amsterdam I	True	False	total	12.923021086633035	96.51943527020651	19	9.0	3.029856599928581e-83	19	24493.0	9.0
child_0-0	351	277944	NC_005831.2	Human coronavirus NL63 strain=Amsterdam I	True	False	NC_005831_2	12.923021086633035	96.51943527020651	19	9.0	3.029856599928581e-83	19	24493.0	9.0
child_0-0	351	687364	NC_014083.1	Torque teno virus 25	True	False	total	0.0127557799627956	0.6377889981397821	1	24.0	1	2	24.0	24.0
child_0-0	351	687364	NC_014083.1	Torque teno virus 25	True	False	NC_014083_1	0.0127557799627956	0.6377889981397821	1	24.0	1	2	24.0	24.0
child_0-0	351	2107707	NC_037665.1	Pandoravirus macleodensis	True	False	total	0.000235005097217	0.0064191207110209	5	19.0	0.0	6	118.0	19.0
child_0-0	351	2107707	NC_037665.1	Pandoravirus macleodensis	True	False	NC_037665_1	0.000235005097217	0.0064191207110209	5	19.0	0.0	6	118.0	19.0
child_0-0	351	10258	NC_005336.1	Orf virus strain=OV-SA00	True	False	total	0.0013146425458338	0.0335805432903216	1	1.0	0.0	2	47.0	1.0
child_0-0	351	10258	NC_005336.1	Orf virus strain=OV-SA00	True	False	NC_005336_1	0.0013146425458338	0.0335805432903216	1	1.0	0.0	2	47.0	1.0
child_0-0	351	170325	NC_030117.1	Canid alphaherpesvirus 1 strain=0194	True	False	total	0.0908117694993249	2.139473200661495	25	45.0	0.0	29	2678.0	45.0
child_0-0	351	170325	NC_030117.1	Canid alphaherpesvirus 1 strain=0194	True	False	NC_030117_1	0.0908117694993249	2.139473200661495	25	45.0	0.0	29	2678.0	45.0
child_0-0	351	35306	NC_018476.1	Simbu orthobunyavirus	True	False	total	0.0356780275562001	0.5946337926033357	1	41.0	1	1	0	6854.0
child_0-0	351	35306	NC_018476.1	Simbu orthobunyavirus	True	False	NC_018476_1	0.0356780275562001	0.5946337926033357	1	41.0	1	1	0	6854.0
child_0-0	351	1580580	NC_025960.1	Agrotis segetum nucleopolyhedrovirus B	True	False	total	0.000349037796766	0.0174518898383015	1	26.0	1	2	26.0	26.0
child_0-0	351	1580580	NC_025960.1	Agrotis segetum nucleopolyhedrovirus B	True	False	NC_025960_1	0.000349037796766	0.0174518898383015	1	26.0	1	2	26.0	26.0
child_0-0	351	332032	NC_007145.2	Burkholderia virus phi52237	True	False	total	0.0156752304790244	0.1248704800871436	1	1.0	0.0	2	47.0	1.0
child_0-0	351	332032	NC_007145.2	Burkholderia virus phi52237	True	False	NC_007145_2	0.0156752304790244	0.1248704800871436	1	1.0	0.0	2	47.0	1.0
child_0-0	351	67082	NC_032111.1	BeAn 58058 virus strain=BeAn58058	True	False	total	0.0035949817490261	0.137419097573694	3	25.0	0.0	4	224.0	25.0
child_0-0	351	67082	NC_032111.1	BeAn 58058 virus strain=BeAn58058	True	False	NC_032111_1	0.0035949817490261	0.137419097573694	3	25.0	0.0	4	224.0	25.0
child_0-0	351	1349409	NC_021858.1	Pandoravirus dulcis	True	False	total	0.5603859317462081	0.0072831151193278	5	1.0	0.0	7	139.0	1.0
child_0-0	351	1349409	NC_021858.1	Pandoravirus dulcis	True	False	NC_021858_1	0.5603859317462081	0.0072831151193278	5	1.0	0.0	7	139.0	1.0
child_0-0	351	1826170	NC_030230.1	Tokyovirus A1	True	False	total	0.0001341536381125	0.0067076819056255	1	25.0	1	2	25.0	25.0
child_0-0	351	1826170	NC_030230.1	Tokyovirus A1	True	False	NC_030230_1	0.0001341536381125	0.0067076819056255	1	25.0	1	2	25.0	25.0
child_0-0	351	129727	NC_005337.1	Bovine papular stomatitis virus strain=BV-AR02	True	False	total	0.0001710914893142	0.0	0	0	1	1	0.0	
child_0-0	351	129727	NC_005337.1	Bovine papular stomatitis virus strain=BV-AR02	True	False	NC_005337_1	0.0001710914893142	0.0	0	0	1	1	0.0	
child_0-0	351	79700	NC_002512.2	rat cytomegalovirus strain Maastricht	True	False	total	0.00018684441509	0.0	0	0	1	1	0.0	
child_0-0	351	79700	NC_002512.2	rat cytomegalovirus strain Maastricht	True	False	NC_002512_2	0.00018684441509	0.0	0	0	1	1	0.0	
child_0-0	351	1678143	NC_001434.1	Orthohepevirus A strain=Xinjiang	True	False	total	0.0121237458193979	0.4180602006688963	1	3.0	0.0	2	30.0	3.0
child_0-0	351	1678143	NC_001434.1	Orthohepevirus A strain=Xinjiang	True	False	NC_001434_1	0.0121237458193979	0.4180602006688963	1	3.0	0.0	2	30.0	3.0
